Queens Park Train Station,-32.0068601,115.9381943
St Joseph's School,-32.005792,115.938716
Muzz Buzz Maddington,-32.049,115.99
Polytechnic West Thornlie campus,-32.059875,115.974515
Metal Scrap Sculpture,-32.068753,115.835161
Carlisle Camel Art,-31.979963,115.911143
Gumtree Sculpture Belmont,-31.960525,115.931069
The Fallen,-31.961486,115.9327
Belmont Forum Fountain,-31.965185,115.935095
Wicca Park Playground,-31.967964,115.931063
Belmont Seventh-Day Adventist,-31.973111,115.927916
Peet Park Playground & Batting,-31.968921,115.92405
Elevate Church,-31.967803,115.920084
Lathlain Gazebo,-31.970436,115.909579
Carlisle Post Office,-31.97515,115.915053
Carlisle Camel Art,-31.979963,115.911143
J.A. Lee Reserve,-31.964806,115.906086
Traveller's Rest,-31.969889,115.901205
Crown Entertainment Complex,-31.963123,115.89656
Broken Hill Hotel 1896,-31.972641,115.896066
East Cannington Park,-32.013999,115.955720
East Cannington Park,-32.013060,115.954433
unknown,-32.016095, 115.929930
War Memorial Park,-32.013220, 115.927204
GYM,-32.00582,115.922881
GYM,-32.00262,115.915155
GYM,-32.011196,115.913064
GYM,-32.013928,115.894256
GYM,-32.007952,115.893856
GYM,-32.014319,115.866454
GYM,-32.017939,115.866613
GYM,-32.010918,115.886145
Gym,115.7673383,-31.7455769,0.0
Gym,115.8507174,-32.0108871,0.0
Gym,115.9249261,-32.8531765,0.0
Gym,115.7715172,-31.7409784,0.0
Gym,115.7475865,-31.7258493,0.0
Gym,115.7513899,-31.7302478,0.0
Gym,115.8545101,-32.02355,0.0
Gym,115.8449829,-32.0359746,0.0
Gym,115.8462596,-32.04014,0.0
Gym,115.8393556,-32.0179374,0.0
Gym,115.9370255,-32.0800429,0.0
Gym,115.932321,-32.0802838,0.0
Gym,115.8485448,-32.0192451,0.0
Gym,115.8427083,-32.0650648,0.0
Gym,115.8463562,-32.0640465,0.0
Gym,115.8437866,-32.0590502,0.0
Gym,115.8449936,-32.051312,0.0
Gym,115.8354396,-32.057559,0.0
Gym,115.8754742,-32.049275,0.0
Gym,115.8719766,-32.0560632,0.0
Gym,115.8433306,-32.0152538,0.0
Gym,115.9354752,-32.0895375,0.0
Gym,115.8286589,-32.0616211,0.0
Gym,115.8421183,-32.0466424,0.0
Gym,115.849615,-32.0408403,0.0
Gym,115.8530295,-32.0299626,0.0
Gym,115.9368955,-32.0838983,0.0
Gym,115.8524153,-32.0272407,0.0
Gym,115.943546,-32.0895421,0.0
Gym,115.9131968,-32.0869299,0.0
Gym,115.8402085,-32.0529897,0.0
Gym,115.9131968,-32.0869299,0.0
Gym,115.8386488,-32.0062353,0.0
gym,115.8304882,-31.8407795,0.0
gym,115.8344793,-31.8368785,0.0
gym,115.8396292,-31.8399045,0.0
Gym,116.0044777,-32.1249962,0.0
Gym,115.9979117,-32.1215957,0.0
Point 43,115.9646308,-32.0782929,0.0
Gym,115.8480406,-32.0331824,0.0
Gym,115.9490968,-31.8788149,0.0
Gym,115.9458447,-31.8703417,0.0
Gym,115.8803558,-31.8558716,0.0
Gym,115.8817553,-31.8532591,0.0
Gym,115.8588874,-31.8122564,0.0
Gym,115.8529061,-31.8118279,0.0
Gym,115.8203655,-31.8027513,0.0
Perena Rocchi Reserve,115.8294151,-32.122527,0.0
Gym,115.8817077,-31.942758,0.0
Gym,115.8788001,-31.9449885,0.0
Gym,115.8781779,-31.9374137,0.0
Gym,115.8719444,-31.9344318,0.0
Point 58,115.7590127,-32.3581678,0.0
Point 59,115.7570922,-32.3605967,0.0
Gym,115.8227849,-31.8383915,0.0
Gym,115.7557833,-31.7272181,0.0
Point 62,115.7603002,-31.7462155,0.0
gym,115.9959483,-31.9934638,0.0
gym,116.0085332,-31.9840365,0.0
Point 60,115.9372213,-32.017735,0.0
gym,115.9812069,-31.9145852,0.0
Point 62,115.8701313,-32.0388622,0.0
Point 63,115.868361,-32.0388622,0.0
Point 64,115.8682054,-32.0381391,0.0
Point 65,115.8839822,-32.0245915,0.0
Malaga Officeworks,115.87800170000003,-31.851514,0.0
Gym,115.8994532,-31.8462571,0.0
Ballajura Public Library,115.89483900000005,-31.839345,0.0
Pho Quang Pagoda,115.84392909999997,-31.82145120000001,0.0
quandong parkway park,115.6833395,-32.5517013,0.0
quandong amphitheater,115.6834817,-32.5522597,0.0
ECU Joondalup Gym,115.7736683,-31.7521275,0.0
Edgewater Dr Gym,115.7810497,-31.755357,0.0
Littorina Park Gym,115.7686579,-31.7688212,0.0
Heathridge Leisure Centre Gym,115.7583153,-31.7667141,0.0
Heathridge Park Gym,115.757457,-31.7691769,0.0
Ocean Reef Park Gym,115.7505798,-31.769674,0.0
Gym,115.7590127,-31.7236956,0.0
Point 78,115.631007,-31.537254,0.0
Point 79,115.7505262,-31.7249002,0.0
Point 81,115.7472324,-31.7104986,0.0
Point 82,115.7298732,-31.6933562,0.0
Gym,115.8200705,-31.8920881,0.0
Barridale park gym,115.7972879,-31.8169835,0.0
Gym,116.0076025,-31.9886115,0.0
Gym,115.8277631,-32.0305083,0.0
Gym,115.746696,-32.5269415,0.0
Gym,115.750612,-32.5193698,0.0
Point 89,115.9822704,-31.7895314,0.0
Point 90,115.9815784,-31.7872994,0.0
Point 91,115.7530153,-32.3621646,0.0
Point 92,115.7531226,-32.3688887,0.0
Point 93,115.7537448,-32.3507995,0.0
Point 94,115.7441962,-32.3474867,0.0
Point 95,115.7600534,-32.3424969,0.0
Point 96,115.7628536,-32.329008,0.0
Point 97,115.7593077,-32.3266282,0.0
Point 98,115.7498664,-32.3198104,0.0
Point 99,115.7500595,-32.3161836,0.0
Point 100,115.7461596,-32.3136629,0.0
Point 101,115.7480478,-32.2985646,0.0
Point 102,115.7525003,-32.3724635,0.0
Point 103,115.7332742,-32.3115684,0.0
Gym,115.9189126,-32.0859629,0.0
Let Nature feed itself,115.8126515,-31.9275208,0.0
Gym,115.8081052,-31.8520783,0.0
Point 107,115.7922077,-31.8322663,0.0
Point 108,116.0245031,-32.1498821,0.0
Point 109,116.0257959,-32.1403347,0.0
Charonia Park Gym,115.7456607,-31.7777415,0.0
Mullaloo Bushland Gym,115.7501721,-31.7757623,0.0
Point 109,115.9198755,-32.0853198,0.0
Gym,115.9194946,-32.0910464,0.0
Gym,115.7585272,-31.7859861,0.0
Point 115,115.7642698,-32.1049523,0.0
Point 115,115.8446717,-31.9608646,0.0
Point 116,115.8440387,-31.9546838,0.0
Point 117,115.816884,-31.7870714,0.0
Point 118,115.851742,-31.8304342,0.0
Point 119,115.8529463,-31.8323347,0.0
Point 120,115.8381057,-31.8321387,0.0
Point 121,115.8462971,-31.8191624,0.0
Point 122,115.8477026,-31.8202244,0.0
Point 123,115.8397257,-31.8076247,0.0
Point 124,115.8931124,-32.0041092,0.0
Point 125,115.8926511,-32.0048007,0.0
Point 126,115.8930695,-32.0055195,0.0
Point 127,115.8944321,-32.0056286,0.0
Point 129,115.9980726,-31.9433498,0.0
Gym,115.8590591,-31.9574238,0.0
Gym,115.8576751,-31.9593263,0.0
Gym,115.8767509,-31.9631948,0.0
Gym,115.8759248,-31.9635771,0.0
Gym,115.884186,-32.0536172,0.0
Haughton Park,115.7876614,-31.7110189,0.0
GYM,116.0483479,-31.859863,0.0
GYM,116.0472751,-31.858405,0.0
Gym,115.8025932,-31.9091846,0.0
Point 137,115.8022928,-31.9091846,0.0
Gym,115.9190521,-31.9461493,0.0
PokeStop,115.7790327,-32.1170751,0.0
Gym,115.745548,-31.7326841,0.0
Gym,115.7400227,-31.7295907,0.0
Point 142,115.8255851,-31.9410237,0.0
Pokestop,115.7841074,-32.136837,0.0
Gym,115.9074461,-31.9410828,0.0
Gym,115.9095222,-31.9304118,0.0
Gym,115.9036267,-31.9310492,0.0
Parklands Park Gym,115.8919644,-32.0359109,0.0
Gym,115.7613087,-31.7316986,0.0
Riverton baptist Community Church Gym,115.8907306,-32.0292532,0.0
gym,115.8958054,-31.8556894,0.0
Corinthian Park Hall Gym,115.8827484,-32.0346922,0.0
Nurdi Park Gym,115.8822709,-32.0366158,0.0
Gym,115.9100693,-31.9257634,0.0
Richard diggings park,115.8278167,-31.9493857,0.0
Icarus Statue,115.695219,-31.6784293,0.0
Halmstad Park,115.7095742,-31.6806434,0.0
Point 159,115.7936776,-31.9865754,0.0
Point 160,115.7982588,-31.9758278,0.0
Point 157,115.7000577,-31.6858976,0.0
Point 162,115.7658148,-31.9073995,0.0
Point 163,115.7664585,-31.9040113,0.0
Point 164,115.9267902,-32.0346103,0.0
Point 165,135.1977679,-52.3219109,0.0
Point 166,136.0546875,-48.4583519,0.0
Gym,115.7671183,-31.8894463,0.0
Point 162,116.0442924,-32.0017437,0.0
Point 168,115.7598603,-31.8962691,0.0
Gym,115.8741868,-32.0146625,0.0
Gym,115.874176,-32.0178555,0.0
Gym,115.866698,-32.0143441,0.0
Gym,115.8669019,-32.0177828,0.0
Point 147,115.8183861,-32.0681016,0.0
Peel Heath campus,115.7624131,-32.5327375,0.0
Pokemon gym,116.011548,-31.87405,0.0
Point 179,115.7642269,-32.3136675,0.0
Gym,116.0077474,-32.0553221,0.0
Gym,116.0107112,-32.0551766,0.0
Stuart Street Reserve Gym,115.8909559,-31.9190202,0.0
GYM,115.9994137,-31.8686925,0.0
Point 181,115.8624655,-31.8256098,0.0
gym,115.8145022,-32.0689016,0.0
Gym,115.8173722,-32.0732701,0.0
Point 185,115.7973039,-31.8443796,0.0
Maylands Freemasons Hall Gym,115.8884722,-31.9246798,0.0
gym,115.8327627,-32.0321409,0.0
Point 193,115.9874913,-31.9510994,0.0
Copley Park South Gym,115.877341,-31.9306805,0.0
Point 199,115.981679,-32.0640329,0.0
